,mag
5047,0.9
5049,2.2
5054,2.27
5055,1.59
5056,1.0
5058,1.3
5060,0.6
5062,0.7
5063,1.8
5064,4.43
5065,1.7
5067,1.0
5069,0.9
5071,0.7
5077,1.2
5078,0.7
5080,0.4
5083,2.4
5085,1.1
5088,1.7
5089,3.0
5091,1.17
5099,1.0
5101,0.29
5105,0.51
5106,0.4
5110,1.0
5111,0.7
5120,1.27
5122,1.3
5123,2.2
5124,0.83
5126,0.6
5128,0.57
5130,3.2
5132,1.68
5136,0.8
5143,0.57
5149,0.7
5155,0.8
5157,0.9
5165,1.7
5169,0.6
5176,1.4
5180,0.6
5188,0.6
5191,1.52
5200,1.01
5201,1.55
5205,1.27
5206,0.9
5211,0.7
5214,0.8
5220,1.21
5241,0.6
5242,0.8
5243,1.2
5247,0.5
5248,0.2
5262,0.9
5267,0.7
5268,1.5
5274,1.5
5275,0.5
5283,0.8
5286,1.7
5289,0.9
5296,1.1
5297,0.7
5298,0.8
5299,0.9
5301,2.2
5302,0.9
5304,0.9
5308,0.3
5310,1.2
5321,0.5
5323,1.0
5325,0.6
5329,0.06
5333,0.4
5335,0.6
5336,0.5
5339,0.9
5341,1.0
5348,1.2
5350,0.9
5354,0.5
5355,0.4
5356,1.9
5358,0.7
5362,1.3
5363,1.1
5370,0.4
5372,1.0
5378,0.5
5379,0.6
5380,0.6
5384,0.8
5386,0.5
5391,1.2
5395,0.3
5397,1.6
5404,0.4
5407,1.0
5408,1.3
5409,1.1
5412,1.4
5414,1.3
5415,0.5
5417,0.8
5419,1.8
5421,0.6
5423,1.3
5425,0.3
5430,0.4
5431,2.3
5439,0.4
5442,0.4
5445,0.6
5446,0.9
5451,0.69
5452,0.6
5454,2.3
5455,0.8
5457,1.8
5458,0.6
5459,0.6
5460,2.8
5461,0.6
5463,1.8
5466,0.2
5470,0.8
5471,1.63
5473,1.1
5474,0.4
5475,1.3
5476,0.4
5479,1.1
5482,0.5
5483,0.7
5485,2.0
5486,0.8
5487,1.9
5490,0.6
5491,1.5
5493,0.7
5496,0.2
5500,1.3
5504,2.0
5505,0.8
5507,0.4
5510,2.6
5511,1.5
5512,0.9
5517,1.9
5520,0.8
5521,0.6
5522,0.3
5523,0.6
5525,1.3
5528,0.8
5535,1.4
5539,1.6
5542,0.6
5546,1.2
5547,1.0
5550,1.6
5553,0.6
5555,1.6
5556,1.7
5557,0.8
5559,1.1
5561,1.0
5562,0.5
5563,0.7
5567,0.1
5568,0.6
5571,0.49
5573,0.6
5574,0.8
5575,0.9
5579,1.8
5580,1.5
5581,1.0
5582,0.4
5583,0.7
5584,0.4
5585,1.21
5588,2.0
5589,1.8
5596,0.6
5598,0.9
5604,0.9
5608,1.3
5612,1.2
5617,1.1
5622,1.0
5623,0.8
5625,1.7
5627,0.9
5631,0.3
5637,1.3
5640,1.1
5646,1.5
5651,0.3
5655,1.8
5656,0.4
5657,1.4
5658,1.1
5667,0.9
5671,1.4
5672,0.5
5679,1.3
5682,1.1
5686,0.9
5687,0.5
5688,1.1
5689,0.4
5693,1.3
5699,0.4
5700,0.2
5701,1.0
5709,0.9
5721,1.4
5724,0.6
5727,1.7
5728,2.0
5731,1.1
5733,0.4
5740,0.6
5742,1.0
5743,1.0
5744,1.6
5745,0.6
5747,0.69
5753,0.5
5754,1.2
5755,0.6
5761,0.8
5766,1.0
5767,0.2
5772,0.7
5774,0.8
5780,0.4
5782,0.4
5788,0.6
5791,0.9
5794,0.8
5800,1.5
5803,0.9
5804,0.4
5807,0.4
5814,0.7
5815,0.9
5818,1.6
5819,0.6
5820,1.0
5821,1.1
5825,2.8
5826,0.4
5831,0.7
5835,0.7
5837,0.9
5839,1.0
5840,0.6
5842,1.0
5844,0.3
5848,0.7
5851,1.6
5858,0.4
5861,1.0
5867,1.3
5873,0.8
5876,1.7
5879,1.2
5880,0.5
5896,0.7
5897,0.8
5899,0.7
5900,0.4
5901,0.1
5902,0.6
5903,0.5
